"Canton","Nationalité","Classes dâge 15-24, 25-49, 50 ans et plus",,"Mois","Septembre 2017"
"Zurich","Etrangers","1","15-24 ans",,"1015"
"Zurich","Etrangers","2","25-49 ans",,"8846"
"Zurich","Etrangers","3","50 ans et plus",,"2250"
"Zurich","Etrangers","Total",,,"12111"
"Zurich","Suisses","1","15-24 ans",,"2405"
"Zurich","Suisses","2","25-49 ans",,"8207"
"Zurich","Suisses","3","50 ans et plus",,"4502"
"Zurich","Suisses","Total",,,"15114"
"Zurich","Total","",,,"27225"
"Berne","Etrangers","1","15-24 ans",,"597"
"Berne","Etrangers","2","25-49 ans",,"3316"
"Berne","Etrangers","3","50 ans et plus",,"987"
"Berne","Etrangers","Total",,,"4900"
"Berne","Suisses","1","15-24 ans",,"1406"
"Berne","Suisses","2","25-49 ans",,"4457"
"Berne","Suisses","3","50 ans et plus",,"2895"
"Berne","Suisses","Total",,,"8758"
"Berne","Total","",,,"13658"
"Lucerne","Etrangers","1","15-24 ans",,"217"
"Lucerne","Etrangers","2","25-49 ans",,"1053"
"Lucerne","Etrangers","3","50 ans et plus",,"323"
"Lucerne","Etrangers","Total",,,"1593"
"Lucerne","Suisses","1","15-24 ans",,"447"
"Lucerne","Suisses","2","25-49 ans",,"1106"
"Lucerne","Suisses","3","50 ans et plus",,"739"
"Lucerne","Suisses","Total",,,"2292"
"Lucerne","Total","",,,"3885"
"Uri","Etrangers","1","15-24 ans",,"6"
"Uri","Etrangers","2","25-49 ans",,"29"
"Uri","Etrangers","3","50 ans et plus",,"18"
"Uri","Etrangers","Total",,,"53"
"Uri","Suisses","1","15-24 ans",,"9"
"Uri","Suisses","2","25-49 ans",,"29"
"Uri","Suisses","3","50 ans et plus",,"21"
"Uri","Suisses","Total",,,"59"
"Uri","Total","",,,"112"
"Schwyz","Etrangers","1","15-24 ans",,"67"
"Schwyz","Etrangers","2","25-49 ans",,"379"
"Schwyz","Etrangers","3","50 ans et plus",,"171"
"Schwyz","Etrangers","Total",,,"617"
"Schwyz","Suisses","1","15-24 ans",,"118"
"Schwyz","Suisses","2","25-49 ans",,"380"
"Schwyz","Suisses","3","50 ans et plus",,"340"
"Schwyz","Suisses","Total",,,"838"
"Schwyz","Total","",,,"1455"
"Obwald","Etrangers","1","15-24 ans",,"4"
"Obwald","Etrangers","2","25-49 ans",,"47"
"Obwald","Etrangers","3","50 ans et plus",,"17"
"Obwald","Etrangers","Total",,,"68"
"Obwald","Suisses","1","15-24 ans",,"17"
"Obwald","Suisses","2","25-49 ans",,"31"
"Obwald","Suisses","3","50 ans et plus",,"37"
"Obwald","Suisses","Total",,,"85"
"Obwald","Total","",,,"153"
"Nidwald","Etrangers","1","15-24 ans",,"13"
"Nidwald","Etrangers","2","25-49 ans",,"60"
"Nidwald","Etrangers","3","50 ans et plus",,"21"
"Nidwald","Etrangers","Total",,,"94"
"Nidwald","Suisses","1","15-24 ans",,"18"
"Nidwald","Suisses","2","25-49 ans",,"63"
"Nidwald","Suisses","3","50 ans et plus",,"73"
"Nidwald","Suisses","Total",,,"154"
"Nidwald","Total","",,,"248"
"Glaris","Etrangers","1","15-24 ans",,"21"
"Glaris","Etrangers","2","25-49 ans",,"107"
"Glaris","Etrangers","3","50 ans et plus",,"56"
"Glaris","Etrangers","Total",,,"184"
"Glaris","Suisses","1","15-24 ans",,"39"
"Glaris","Suisses","2","25-49 ans",,"104"
"Glaris","Suisses","3","50 ans et plus",,"89"
"Glaris","Suisses","Total",,,"232"
"Glaris","Total","",,,"416"
"Zoug","Etrangers","1","15-24 ans",,"41"
"Zoug","Etrangers","2","25-49 ans",,"497"
"Zoug","Etrangers","3","50 ans et plus",,"179"
"Zoug","Etrangers","Total",,,"717"
"Zoug","Suisses","1","15-24 ans",,"92"
"Zoug","Suisses","2","25-49 ans",,"438"
"Zoug","Suisses","3","50 ans et plus",,"296"
"Zoug","Suisses","Total",,,"826"
"Zoug","Total","",,,"1543"
"Fribourg","Etrangers","1","15-24 ans",,"269"
"Fribourg","Etrangers","2","25-49 ans",,"1252"
"Fribourg","Etrangers","3","50 ans et plus",,"367"
"Fribourg","Etrangers","Total",,,"1888"
"Fribourg","Suisses","1","15-24 ans",,"414"
"Fribourg","Suisses","2","25-49 ans",,"1376"
"Fribourg","Suisses","3","50 ans et plus",,"788"
"Fribourg","Suisses","Total",,,"2578"
"Fribourg","Total","",,,"4466"
"Soleure","Etrangers","1","15-24 ans",,"218"
"Soleure","Etrangers","2","25-49 ans",,"930"
"Soleure","Etrangers","3","50 ans et plus",,"421"
"Soleure","Etrangers","Total",,,"1569"
"Soleure","Suisses","1","15-24 ans",,"366"
"Soleure","Suisses","2","25-49 ans",,"1061"
"Soleure","Suisses","3","50 ans et plus",,"805"
"Soleure","Suisses","Total",,,"2232"
"Soleure","Total","",,,"3801"
"Bâle-Ville","Etrangers","1","15-24 ans",,"145"
"Bâle-Ville","Etrangers","2","25-49 ans",,"1305"
"Bâle-Ville","Etrangers","3","50 ans et plus",,"330"
"Bâle-Ville","Etrangers","Total",,,"1780"
"Bâle-Ville","Suisses","1","15-24 ans",,"263"
"Bâle-Ville","Suisses","2","25-49 ans",,"957"
"Bâle-Ville","Suisses","3","50 ans et plus",,"455"
"Bâle-Ville","Suisses","Total",,,"1675"
"Bâle-Ville","Total","",,,"3455"
"Bâle-Campagne","Etrangers","1","15-24 ans",,"165"
"Bâle-Campagne","Etrangers","2","25-49 ans",,"1089"
"Bâle-Campagne","Etrangers","3","50 ans et plus",,"342"
"Bâle-Campagne","Etrangers","Total",,,"1596"
"Bâle-Campagne","Suisses","1","15-24 ans",,"359"
"Bâle-Campagne","Suisses","2","25-49 ans",,"1270"
"Bâle-Campagne","Suisses","3","50 ans et plus",,"857"
"Bâle-Campagne","Suisses","Total",,,"2486"
"Bâle-Campagne","Total","",,,"4082"
"Schaffhouse","Etrangers","1","15-24 ans",,"82"
"Schaffhouse","Etrangers","2","25-49 ans",,"381"
"Schaffhouse","Etrangers","3","50 ans et plus",,"132"
"Schaffhouse","Etrangers","Total",,,"595"
"Schaffhouse","Suisses","1","15-24 ans",,"144"
"Schaffhouse","Suisses","2","25-49 ans",,"341"
"Schaffhouse","Suisses","3","50 ans et plus",,"206"
"Schaffhouse","Suisses","Total",,,"691"
"Schaffhouse","Total","",,,"1286"
"Appenzell Rhodes-Extérieures","Etrangers","1","15-24 ans",,"21"
"Appenzell Rhodes-Extérieures","Etrangers","2","25-49 ans",,"108"
"Appenzell Rhodes-Extérieures","Etrangers","3","50 ans et plus",,"50"
"Appenzell Rhodes-Extérieures","Etrangers","Total",,,"179"
"Appenzell Rhodes-Extérieures","Suisses","1","15-24 ans",,"44"
"Appenzell Rhodes-Extérieures","Suisses","2","25-49 ans",,"151"
"Appenzell Rhodes-Extérieures","Suisses","3","50 ans et plus",,"149"
"Appenzell Rhodes-Extérieures","Suisses","Total",,,"344"
"Appenzell Rhodes-Extérieures","Total","",,,"523"
"Appenzell Rhodes-Intérieures","Etrangers","1","15-24 ans",,"6"
"Appenzell Rhodes-Intérieures","Etrangers","2","25-49 ans",,"10"
"Appenzell Rhodes-Intérieures","Etrangers","3","50 ans et plus",,"7"
"Appenzell Rhodes-Intérieures","Etrangers","Total",,,"23"
"Appenzell Rhodes-Intérieures","Suisses","1","15-24 ans",,"10"
"Appenzell Rhodes-Intérieures","Suisses","2","25-49 ans",,"14"
"Appenzell Rhodes-Intérieures","Suisses","3","50 ans et plus",,"15"
"Appenzell Rhodes-Intérieures","Suisses","Total",,,"39"
"Appenzell Rhodes-Intérieures","Total","",,,"62"
"St-Gall","Etrangers","1","15-24 ans",,"408"
"St-Gall","Etrangers","2","25-49 ans",,"1844"
"St-Gall","Etrangers","3","50 ans et plus",,"650"
"St-Gall","Etrangers","Total",,,"2902"
"St-Gall","Suisses","1","15-24 ans",,"638"
"St-Gall","Suisses","2","25-49 ans",,"1550"
"St-Gall","Suisses","3","50 ans et plus",,"1037"
"St-Gall","Suisses","Total",,,"3225"
"St-Gall","Total","",,,"6127"
"Grisons","Etrangers","1","15-24 ans",,"53"
"Grisons","Etrangers","2","25-49 ans",,"336"
"Grisons","Etrangers","3","50 ans et plus",,"138"
"Grisons","Etrangers","Total",,,"527"
"Grisons","Suisses","1","15-24 ans",,"141"
