"Canton","Nationalité","Mois","Septembre 2017","Septembre 2017","Total","Total"
"Zurich","Etrangers",,"5.3","2'106","5.3","2'106"
"Zurich","Suisses",,"2.5","2'647","2.5","2'647"
"Berne","Etrangers",,"5.5","848","5.5","848"
"Berne","Suisses",,"1.8","1'488","1.8","1'488"
"Lucerne","Etrangers",,"3.9","181","3.9","181"
"Lucerne","Suisses",,"1.3","272","1.3","272"
"Uri","Etrangers",,"2.1","7","2.1","7"
"Uri","Suisses",,"0.4","6","0.4","6"
"Schwyz","Etrangers",,"3.4","76","3.4","76"
"Schwyz","Suisses",,"1.2","113","1.2","113"
"Obwald","Etrangers",,"2.2","4","2.2","4"
"Obwald","Suisses",,"0.5","6","0.5","6"
"Nidwald","Etrangers",,"2.9","8","2.9","8"
"Nidwald","Suisses",,"0.7","16","0.7","16"
"Glaris","Etrangers",,"3.4","28","3.4","28"
"Glaris","Suisses",,"1.4","50","1.4","50"
"Zoug","Etrangers",,"3.9","115","3.9","115"
"Zoug","Suisses",,"1.7","133","1.7","133"
"Fribourg","Etrangers",,"5","196","5","196"
"Fribourg","Suisses",,"2","290","2","290"
"Soleure","Etrangers",,"5","216","5","216"
"Soleure","Suisses",,"1.9","352","1.9","352"
"Bâle-Ville","Etrangers",,"4.6","308","4.6","308"
"Bâle-Ville","Suisses",,"2.8","298","2.8","298"
"Bâle-Campagne","Etrangers",,"4.8","233","4.8","233"
"Bâle-Campagne","Suisses",,"2.2","418","2.2","418"
"Schaffhouse","Etrangers",,"5.1","131","5.1","131"
"Schaffhouse","Suisses",,"2.2","137","2.2","137"
"Appenzell Rhodes-Extérieures","Etrangers",,"3.4","31","3.4","31"
"Appenzell Rhodes-Extérieures","Suisses",,"1.4","64","1.4","64"
"Appenzell Rhodes-Intérieures","Etrangers",,"2","5","2","5"
"Appenzell Rhodes-Intérieures","Suisses",,"0.5","4","0.5","4"
"St-Gall","Etrangers",,"4.3","405","4.3","405"
"St-Gall","Suisses",,"1.5","461","1.5","461"
"Grisons","Etrangers",,"2.3","18","2.3","18"
"Grisons","Suisses",,"0.7","46","0.7","46"
"Argovie","Etrangers",,"5.6","821","5.6","821"
"Argovie","Suisses",,"2.1","877","2.1","877"
"Thurgovie","Etrangers",,"3.9","202","3.9","202"
"Thurgovie","Suisses",,"1.4","214","1.4","214"
"Tessin","Etrangers",,"4.6","337","4.6","337"
"Tessin","Suisses",,"2.5","460","2.5","460"
"Vaud","Etrangers",,"5.9","1'399","5.9","1'399"
"Vaud","Suisses",,"3.5","1'616","3.5","1'616"
"Valais","Etrangers",,"4.9","211","4.9","211"
"Valais","Suisses",,"2.1","377","2.1","377"
"Neuchâtel","Etrangers",,"7.4","497","7.4","497"
"Neuchâtel","Suisses",,"4.2","713","4.2","713"
"Genève","Etrangers",,"5.7","1'091","5.7","1'091"
"Genève","Suisses",,"4.8","1'235","4.8","1'235"
"Jura","Etrangers",,"9","164","9","164"
"Jura","Suisses",,"3.6","282","3.6","282"
"Total","",,"3","22'213","3","22'213"
