"TIME","GEO","INDIC_EM","AGE","SEX","UNIT","Value","Flag and Footnotes"
"2007","European Union (28 countries)","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","7 194",""
"2007","European Union (28 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","42.6",""
"2007","European Union (28 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.0",""
"2007","European Union (27 countries)","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","7 080",""
"2007","European Union (27 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","42.4",""
"2007","European Union (27 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.0",""
"2007","European Union (15 countries)","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","5 192",""
"2007","European Union (15 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","39.7",""
"2007","European Union (15 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","2.8",""
"2007","Euro area (19 countries)","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","5 053",""
"2007","Euro area (19 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","43.7",""
"2007","Euro area (19 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.2",""
"2007","Euro area (18 countries)","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","5 032",""
"2007","Euro area (18 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","43.7",""
"2007","Euro area (18 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.2",""
"2007","Euro area (17 countries)","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","5 013",""
"2007","Euro area (17 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","43.8",""
"2007","Euro area (17 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.3",""
"2007","Belgium","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","177",""
"2007","Belgium","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","50.2",""
"2007","Belgium","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.8",""
"2007","Bulgaria","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","141",""
"2007","Bulgaria","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","58.8",""
"2007","Bulgaria","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","4.1",""
"2007","Czech Republic","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","144",""
"2007","Czech Republic","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","52.2",""
"2007","Czech Republic","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","2.8",""
"2007","Denmark","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","18",""
"2007","Denmark","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","16.1",""
"2007","Denmark","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","0.6",""
"2007","Germany (until 1990 former territory of the FRG)","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","2 016",""
"2007","Germany (until 1990 former territory of the FRG)","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","56.0",""
"2007","Germany (until 1990 former territory of the FRG)","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","4.9",""
"2007","Estonia","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","16",""
"2007","Estonia","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","49.8",""
"2007","Estonia","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","2.3",""
"2007","Ireland","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","31","b"
"2007","Ireland","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","29.7","b"
"2007","Ireland","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.4","b"
"2007","Greece","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","208",""
"2007","Greece","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","49.7",""
"2007","Greece","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","4.2",""
"2007","Spain","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","377",""
"2007","Spain","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","20.4",""
"2007","Spain","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.7",""
"2007","France","Long-term unemployment","From 15 to 74 years","Total","Thousand persons",":",""
"2007","France","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment",":",""
"2007","France","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.3","e"
"2007","France (metropolitan)","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","832",""
"2007","France (metropolitan)","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","39.2",""
"2007","France (metropolitan)","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.0",""
"2007","Croatia","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","115",""
"2007","Croatia","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","60.0",""
"2007","Croatia","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","6.0",""
"2007","Italy","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","695",""
"2007","Italy","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","46.9",""
"2007","Italy","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","2.9",""
"2007","Cyprus","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","3",""
"2007","Cyprus","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","18.6",""
"2007","Cyprus","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","0.7",""
"2007","Latvia","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","18",""
"2007","Latvia","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","27.0",""
"2007","Latvia","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.6",""
"2007","Lithuania","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","21","u"
"2007","Lithuania","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","32.4","u"
"2007","Lithuania","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.4","u"
"2007","Luxembourg","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","2","b"
"2007","Luxembourg","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","28.7","b"
"2007","Luxembourg","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.2","b"
"2007","Hungary","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","146",""
"2007","Hungary","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","46.7",""
"2007","Hungary","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.5",""
"2007","Malta","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","4",""
"2007","Malta","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","41.3",""
"2007","Malta","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","2.7",""
"2007","Netherlands","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","107",""
"2007","Netherlands","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","38.5",""
"2007","Netherlands","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.2",""
"2007","Austria","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","55","b"
"2007","Austria","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","27.2","b"
"2007","Austria","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.3","b"
"2007","Poland","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","831",""
"2007","Poland","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","51.3",""
"2007","Poland","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","4.9",""
"2007","Portugal","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","207",""
"2007","Portugal","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","47.1",""
"2007","Portugal","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.8",""
"2007","Romania","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","321",""
"2007","Romania","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","50.0",""
"2007","Romania","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.2",""
"2007","Slovenia","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","23",""
"2007","Slovenia","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","45.7",""
"2007","Slovenia","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","2.2",""
"2007","Slovakia","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","219",""
"2007","Slovakia","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","74.2",""
"2007","Slovakia","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","8.3",""
"2007","Finland","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","41",""
"2007","Finland","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","22.6",""
"2007","Finland","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.5",""
"2007","Sweden","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","41",""
"2007","Sweden","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","13.6",""
"2007","Sweden","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","0.8",""
"2007","United Kingdom","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","386",""
"2007","United Kingdom","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","23.7",""
"2007","United Kingdom","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.3",""
"2007","Iceland","Long-term unemployment","From 15 to 74 years","Total","Thousand persons",":","u"
"2007","Iceland","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment",":","u"
"2007","Iceland","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population",":","u"
"2007","Norway","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","11",""
"2007","Norway","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","17.8",""
"2007","Norway","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","0.4",""
"2007","Switzerland","Long-term unemployment","From 15 to 74 years","Total","Thousand persons",":",""
"2007","Switzerland","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment",":",""
"2007","Switzerland","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population",":",""
"2007","Former Yugoslav Republic of Macedonia, the","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","269",""
"2007","Former Yugoslav Republic of Macedonia, the","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","84.8",""
"2007","Former Yugoslav Republic of Macedonia, the","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","29.7",""
"2007","Turkey","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","532",""
"2007","Turkey","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","26.3",""
"2007","Turkey","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","2.3",""
